customer_id,age,gender,region,acquisition_channel,signup_date,last_purchase_date,total_purchases,avg_order_value,campaign_exposure,campaign_clicks,time_on_site,churned,revenue_last_12m
1,22,Male,South,Organic,2025-02-22,2025-03-17,2,45.33,Yes,1,12.15,1,90.66
2,58,Female,North,Organic,2023-05-19,2025-04-10,2,119.08,Yes,0,10.52,1,238.16
3,52,Female,South,Organic,2023-11-02,2024-11-18,3,97.52,Yes,1,16.8,1,292.56
4,40,Male,West,Search Ads,2023-05-26,2025-07-05,4,95.6,Yes,1,6.34,0,382.4
5,40,Male,South,Referral,2024-03-21,2025-07-16,4,95.14,Yes,0,7.22,0,380.56
6,62,Male,North,Referral,2023-11-03,2025-09-12,6,91.66,No,1,8.57,0,549.96
7,22,Female,South,Social Media,2025-03-30,2025-08-27,3,93.46,Yes,0,8.87,0,280.38
8,54,Female,West,Organic,2025-02-07,2025-07-05,0,90.35,No,0,2.48,1,0.0
9,28,Female,South,Email,2025-06-06,2025-09-27,4,76.25,Yes,0,11.89,0,305.0
10,22,Male,South,Email,2024-02-19,2025-07-27,4,89.47,Yes,1,6.78,0,357.88
11,45,Male,North,Social Media,2024-06-16,2025-09-16,2,89.04,Yes,1,6.56,0,178.08
12,68,Female,South,Social Media,2025-05-12,2025-08-05,4,71.99,Yes,1,8.67,0,287.96
13,56,Male,West,Organic,2024-12-16,2025-04-12,3,107.55,No,0,7.31,0,322.65
14,57,Female,West,Social Media,2025-08-10,2025-08-30,1,71.9,Yes,0,10.3,0,71.9
15,55,Male,South,Social Media,2025-09-10,2025-09-12,3,69.51,Yes,0,12.35,1,208.53
16,58,Male,West,Email,2023-03-17,2025-09-10,2,75.29,Yes,2,11.75,0,150.58
17,44,Female,South,Email,2023-08-24,2025-08-23,3,54.67,Yes,0,9.4,0,164.01
18,24,Female,West,Social Media,2024-12-13,2025-06-28,4,81.81,Yes,1,6.96,0,327.24
19,61,Female,North,Social Media,2023-04-09,2025-09-28,2,75.97,Yes,1,9.62,0,151.94
20,41,Male,South,Email,2023-03-27,2025-09-03,4,97.39,Yes,3,5.33,0,389.56
21,44,Female,West,Organic,2023-03-13,2025-02-06,4,82.56,Yes,0,9.35,1,330.24
22,37,Female,West,Search Ads,2024-10-29,2025-10-01,3,55.56,No,0,5.16,0,166.68
23,27,Female,East,Email,2023-10-04,2025-04-10,1,75.39,No,0,14.38,1,75.39
24,66,Female,East,Search Ads,2025-08-03,2025-09-03,1,60.45,Yes,1,8.64,0,60.45
25,58,Female,West,Email,2023-04-12,2025-10-07,1,105.39,Yes,0,6.67,0,105.39
26,51,Female,East,Referral,2024-04-02,2025-08-23,1,114.45,Yes,1,11.27,0,114.45
27,38,Male,North,Organic,2024-10-26,2024-11-10,2,92.64,Yes,1,7.05,1,185.28
28,60,Male,South,Email,2023-12-28,2024-11-17,1,99.42,No,0,5.87,1,99.42
29,46,Female,East,Search Ads,2024-12-19,2025-09-08,3,91.7,Yes,1,11.41,0,275.1
30,41,Male,East,Social Media,2025-04-22,2025-07-09,0,90.42,No,1,9.01,0,0.0
31,41,Male,West,Organic,2024-10-03,2025-09-18,2,71.91,No,0,11.15,0,143.82
32,29,Female,South,Social Media,2024-08-31,2025-06-04,1,77.32,No,0,1.0,0,77.32
